label,images,sources,class_index,mean_quality_score,mean_megapixels,mean_sharpness,mean_brightness,share,rank
tomato___tomato_yellow_leaf_curl_virus,4379,1,37,0.6750225010276318,0.065536,2187.4287271747794,112.75417466739673,0.08714427860696518,1
soybean___healthy,4246,1,24,0.8076786888836552,0.065536,5878.091875303401,138.1973637362106,0.08449751243781095,2
orange___haunglongbing_citrus_greening,4018,1,15,0.6924893145843704,0.065536,1487.9395438400622,104.97054414573506,0.07996019900497513,3
peach___bacterial_spot,2291,1,16,0.7480287359231778,0.065536,1714.050489745035,117.54224337474169,0.04559203980099503,4
tomato___bacterial_spot,2099,1,28,0.7419102806098142,0.065536,1058.0397215028934,104.9874808723555,0.04177114427860697,5
squash___powdery_mildew,1830,1,25,0.7432977508196721,0.065536,5568.5528033814435,128.2646418336962,0.036417910447761194,6
tomato___late_blight,1803,1,31,0.7586195712701054,0.065536,2661.7635712639562,116.10154505775692,0.035880597014925374,7
tomato___septoria_leaf_spot,1756,1,33,0.7737168183371299,0.065536,4794.706964785259,131.0124099575034,0.034945273631840794,8
tomato___spider_mites_two_spotted_spider_mite,1667,1,34,0.7985980641871626,0.065536,6795.940187072649,119.31204516542981,0.03317412935323383,9
apple___healthy,1622,1,3,0.7925822774352651,0.065536,3062.2256074954835,114.73086783036351,0.03227860696517413,10
tomato___healthy,1575,1,30,0.7763730374603175,0.065536,12260.053124304308,116.26416300455729,0.03134328358208955,11
blueberry___healthy,1486,1,4,0.8250626487213998,0.065536,5448.916301766107,142.78053147122165,0.029572139303482587,12
pepper_bell___healthy,1448,1,19,0.8020681312154696,0.065536,4341.70000916425,128.7139230696536,0.02881592039800995,13
tomato___target_spot,1401,1,35,0.8004629114917916,0.065536,7212.263541918228,118.74676816451559,0.027880597014925373,14
grape___esca_black_measles,1379,1,12,0.8323739753444526,0.065536,5861.7283712183125,122.65065618768129,0.027442786069651743,15
corn_maize___common_rust,1192,1,8,0.8648806325503355,0.065536,2854.2681526240553,91.51097364233644,0.02372139303482587,16
grape___black_rot,1179,1,11,0.8029968948261238,0.065536,2925.1346119681675,117.18061912737224,0.02346268656716418,17
strawberry___leaf_scorch,1106,1,27,0.7948456139240506,0.065536,4948.757351550949,139.8272740534805,0.022009950248756217,18
grape___leaf_blight_isariopsis_leaf_spot,1075,1,14,0.7923753702325582,0.065536,4158.2007253157435,125.40746858818586,0.021393034825870648,19
potato___early_blight,996,1,20,0.809593702811245,0.065536,7031.571167053166,136.96395471105615,0.019820895522388058,20
tomato___early_blight,995,1,29,0.8002610542713567,0.065536,3037.2951011870027,110.60884558902913,0.01980099502487562,21
potato___late_blight,989,1,22,0.7787007168857432,0.065536,3820.7968478609882,117.10877398268157,0.019681592039800994,22
pepper_bell___bacterial_spot,985,1,18,0.8175308030456853,0.065536,5198.514405697989,118.38207104678081,0.019601990049751244,23
corn_maize___northern_leaf_blight,984,1,10,0.7485089095528455,0.06553599999999998,1709.395375531444,117.78827273361082,0.019582089552238807,24
cherry_including_sour___powdery_mildew,970,1,6,0.6186661989690722,0.065536,539.7261393566059,119.37135332245188,0.019303482587064675,25
tomato___leaf_mold,948,1,32,0.7651999789029535,0.065536,3157.3010547805857,115.4016989213002,0.018865671641791044,26
corn_maize___healthy,935,1,9,0.6974789775401069,0.065536,1375.2547693848974,147.4167692296645,0.018606965174129353,27
cherry_including_sour___healthy,815,1,5,0.7743369030674846,0.065536,3731.454896001443,139.5957857845751,0.016218905472636817,28
apple___black_rot,617,1,1,0.8012166385737439,0.065536,6164.329742927043,122.30732974356926,0.012278606965174129,29
apple___apple_scab,614,1,0,0.7471806107491856,0.065536,2768.657559414169,110.25797629589367,0.012218905472636815,30
corn_maize___cercospora_leaf_spot_gray_leaf_spot,513,1,7,0.7690836764132554,0.065536,2852.6438526817483,118.60250676026818,0.010208955223880597,31
strawberry___healthy,454,1,26,0.7887161894273128,0.065536,6797.202425008726,127.70035563061415,0.009034825870646766,32
grape___healthy,422,1,13,0.7797902867298578,0.065536,2720.2483174134845,137.46453745331243,0.008398009950248756,33
tomato___tomato_mosaic_virus,370,1,36,0.7634635054054054,0.065536,6138.958689106094,117.31842626623205,0.00736318407960199,34
peach___healthy,359,1,17,0.8127431002785515,0.065536,3857.6910904961273,127.50587046843718,0.007144278606965174,35
raspberry___healthy,312,1,23,0.8116324935897437,0.065536,5859.747713942344,128.03488834087665,0.006208955223880597,36
apple___cedar_apple_rust,271,1,2,0.6748689077490775,0.065536,385.81670745527043,120.61515532208544,0.005393034825870647,37
potato___healthy,149,1,21,0.7861180939597315,0.065536,7131.199897319235,127.59583523129457,0.002965174129353234,38
