group_id,group_size,image_id,role,duplicate_of,hamming_distance,similarity,dataset_name,label,source_relpath,perceptual_hash,status
8bfdf4d0ddca2cb2,2,8bfdf4d0ddca2cb2,representative,,,1.0,color,apple___apple_scab,Apple___Apple_scab/2dd8b8f8-46b0-4bc6-b817-ea7163f4b28b___FREC_Scab 3473.JPG,f8a7a1d0879e9538,accepted
8bfdf4d0ddca2cb2,2,b32ba5ed5b1febfe,near_duplicate,8bfdf4d0ddca2cb2,4.0,0.9375,color,apple___apple_scab,Apple___Apple_scab/add9ce00-e304-4632-82f2-ddc86a6be5f6___FREC_Scab 3472.JPG,f88783d0879e9738,rejected
7f0f2cbc39a98eaa,2,7f0f2cbc39a98eaa,representative,,,1.0,color,apple___apple_scab,Apple___Apple_scab/f6946261-1a18-4306-ba87-ca25344d9bd2___FREC_Scab 3525.JPG,eada9525da92ac98,accepted
7f0f2cbc39a98eaa,2,af826ec171c27798,near_duplicate,7f0f2cbc39a98eaa,4.0,0.9375,color,blueberry___healthy,Blueberry___healthy/23d13863-7320-427f-8559-9665257b9540___RS_HL 2334.JPG,eaca9525da928c9b,rejected
49c8b2ff5042ee40,3,5a962820a81e10fd,near_duplicate,49c8b2ff5042ee40,4.0,0.9375,color,apple___black_rot,Apple___Black_rot/1ce40e9f-cddc-4939-8e58-7a8235d9b28a___JR_FrgE.S 3019.JPG,eea491d8c2c7c783,rejected
49c8b2ff5042ee40,3,b14023212471caec,near_duplicate,49c8b2ff5042ee40,4.0,0.9375,color,apple___black_rot,Apple___Black_rot/4eeaca51-3ca2-4afe-884a-d65c2e31e452___JR_FrgE.S 3026.JPG,eeb499e8c2c3c3c1,rejected
49c8b2ff5042ee40,3,49c8b2ff5042ee40,representative,,,1.0,color,apple___black_rot,Apple___Black_rot/fc5f6bd3-bd4e-4a8c-94d1-d46ea92a3941___JR_FrgE.S 3017.JPG,eeb499c8c2c7c383,accepted
8ac7706c89a63a2e,2,95ab1bed559ddb4f,near_duplicate,8ac7706c89a63a2e,4.0,0.9375,color,apple___black_rot,Apple___Black_rot/30aebb07-bde6-44c8-bee2-a06ff42a948d___JR_FrgE.S 3071.JPG,8308b4fd4f5ad0f4,rejected
8ac7706c89a63a2e,2,8ac7706c89a63a2e,representative,,,1.0,color,apple___black_rot,Apple___Black_rot/fb8255a6-e05d-44d3-a115-80c1e55009bd___JR_FrgE.S 3074.JPG,8308b7bd4f4ad0f4,accepted
aa08d9bf5a1291db,2,54cbff538643d216,near_duplicate,aa08d9bf5a1291db,4.0,0.9375,color,apple___black_rot,Apple___Black_rot/6af96fb3-002f-48b3-a2e8-fb5cf30dfa63___JR_FrgE.S 2998.JPG,fabc89a1c6c69239,rejected
aa08d9bf5a1291db,2,aa08d9bf5a1291db,representative,,,1.0,color,apple___black_rot,Apple___Black_rot/f83c1286-8bdb-48e6-ac8f-bd8a5209afc7___JR_FrgE.S 3001.JPG,fab48da1c6c69619,accepted
6aa9cb0688d7c845,3,6aa9cb0688d7c845,representative,,,1.0,color,apple___black_rot,Apple___Black_rot/f3bac530-dd9a-43b3-b3cf-9860315f3d18___JR_FrgE.S 8800.JPG,ff8ca05587529c6a,accepted
6aa9cb0688d7c845,3,d4fd68c779fe82bc,near_duplicate,6aa9cb0688d7c845,4.0,0.9375,color,raspberry___healthy,Raspberry___healthy/68c91797-4323-4a34-a203-8393cdf3889b___Mary_HL 9143.JPG,ffa8a055875a9c68,rejected
6aa9cb0688d7c845,3,8cddfa25de1104fa,near_duplicate,6aa9cb0688d7c845,6.0,0.90625,color,soybean___healthy,Soybean___healthy/d0e3c820-9795-4fb8-b0d0-136176a7c7f5___RS_HL 6554.JPG,ffa8e04587569c68,rejected
684679b8b7cf67d7,2,684679b8b7cf67d7,representative,,,1.0,color,apple___healthy,Apple___healthy/11beda66-01e9-4bfd-be37-c0f8646d1478___RS_HL 6271.JPG,ade9d206d892d333,accepted
684679b8b7cf67d7,2,e95ee3452741e5e5,exact_duplicate,684679b8b7cf67d7,0.0,1.0,color,apple___healthy,Apple___healthy/13298d36-4425-437d-ae8e-c7d70e200084___RS_HL 6271.JPG,ade9d206d892d333,rejected
71203cac78b1b881,3,7663fd28af4cc4b1,near_duplicate,71203cac78b1b881,4.0,0.9375,color,apple___healthy,Apple___healthy/14896dc0-688d-456f-b5ec-a037695b0193___RS_HL 6268.JPG,ea4a853d99309db3,rejected
71203cac78b1b881,3,74dcf7a4df3bb525,near_duplicate,71203cac78b1b881,4.0,0.9375,color,apple___healthy,Apple___healthy/c21cf428-bfc3-4710-b5d2-69d1c0e94748___RS_HL 6268.JPG,ea4a853d99309db3,rejected
71203cac78b1b881,3,71203cac78b1b881,representative,,,1.0,color,soybean___healthy,Soybean___healthy/242b3ada-7462-4ed7-a00e-b15af0bd6950___RS_HL 3324.JPG,ea4ac53d993087b3,accepted
672d786f28c5d237,223,6298ca8b3679e459,near_duplicate,672d786f28c5d237,12.0,0.8125,color,apple___healthy,Apple___healthy/1497c20f-448a-48e2-9cf0-b4fc8cfa848a___RS_HL 6292.JPG,fac2851e94719727,rejected
672d786f28c5d237,223,981c3ad346148fa7,near_duplicate,672d786f28c5d237,26.0,0.59375,color,apple___healthy,Apple___healthy/b6a2a9d1-5fff-4f42-bc18-12c9777001e6___RS_HL 6067.JPG,aacaf50d9a35d036,rejected
672d786f28c5d237,223,7ba460581300f0ba,near_duplicate,672d786f28c5d237,22.0,0.65625,color,blueberry___healthy,Blueberry___healthy/09e4cb6f-2897-477a-adce-f2c6204840e5___RS_HL 2303.JPG,eb4a958d9234db32,rejected
672d786f28c5d237,223,3a0a184c9e06b8d1,near_duplicate,672d786f28c5d237,4.0,0.9375,color,orange___haunglongbing_citrus_greening,Orange___Haunglongbing_(Citrus_greening)/b0d0b4b7-5bf4-4638-9786-a67d98cceab8___CREC_HLB 6898.JPG,eac5851f94389769,rejected
672d786f28c5d237,223,66af4382d9b70211,near_duplicate,672d786f28c5d237,8.0,0.875,color,pepper_bell___bacterial_spot,"Pepper,_bell___Bacterial_spot/94f00ecd-184d-40ee-a7e9-d6feb19402cb___JR_B.Spot 8957.JPG",eec1851e9628937d,rejected
672d786f28c5d237,223,672d786f28c5d237,representative,,,1.0,color,pepper_bell___healthy,"Pepper,_bell___healthy/1a93f310-cd75-4af6-96d3-690180b4542a___JR_HL 5850.JPG",eac5851e943897f1,accepted
672d786f28c5d237,223,8e779450c6c623fa,near_duplicate,672d786f28c5d237,12.0,0.8125,color,pepper_bell___healthy,"Pepper,_bell___healthy/228e2afd-54a4-4097-8489-916c608361a9___JR_HL 7690.JPG",ebc1851f9c3a9227,rejected
672d786f28c5d237,223,271cae3808812f7a,near_duplicate,672d786f28c5d237,18.0,0.71875,color,pepper_bell___healthy,"Pepper,_bell___healthy/92688273-9135-48c4-82b1-f4e0a32fafe1___JR_HL 5848.JPG",eacac50f9a3d9035,rejected
672d786f28c5d237,223,ab1e9e24566f52c6,near_duplicate,672d786f28c5d237,22.0,0.65625,color,pepper_bell___healthy,"Pepper,_bell___healthy/9e17a7df-6284-467f-b223-33b0d06d0a81___JR_HL 5973.JPG",afcad20f9a3c91b0,rejected
672d786f28c5d237,223,54a34f0f5e495187,near_duplicate,672d786f28c5d237,18.0,0.71875,color,pepper_bell___healthy,"Pepper,_bell___healthy/b49270a7-3369-4dd5-ad39-898c3c7adf9e___JR_HL 7676.JPG",abe1950f9a3cd033,rejected
672d786f28c5d237,223,c4a0fba5fe4403a9,near_duplicate,672d786f28c5d237,20.0,0.6875,color,pepper_bell___healthy,"Pepper,_bell___healthy/f47373b3-ed1e-42b0-988b-b2724cc89782___JR_HL 5903.JPG",eaca951d9835c336,rejected
