group_id,group_size,risk,labels,sources,image_ids,distinct_labels,distinct_sources,retained_images
672d786f28c5d237,223,label_conflict,apple___healthy | blueberry___healthy | orange___haunglongbing_citrus_greening | pepper_bell___bacterial_spot | pepper_bell___healthy | potato___late_blight | raspberry___healthy | soybean___healthy | tomato___bacterial_spot | tomato___late_blight | tomato___septoria_leaf_spot,color,6298ca8b3679e459 981c3ad346148fa7 7ba460581300f0ba 3a0a184c9e06b8d1 66af4382d9b70211 672d786f28c5d237 8e779450c6c623fa 271cae3808812f7a ab1e9e24566f52c6 54a34f0f5e495187 c4a0fba5fe4403a9 7818ca0d97cfafcb c438c9ccfe92df6e 8988f1c03ff94ac5 d61f7eddca388163 6c96a46dc89beeab be240bf8fa890119 dc0549bc7ce09399 c45cd551a4859206 d0a3158ac7adcf6d,11,1,1
d4fddb76d0b2663c,211,label_conflict,blueberry___healthy | cherry_including_sour___healthy | pepper_bell___bacterial_spot | pepper_bell___healthy | potato___healthy | raspberry___healthy | soybean___healthy | tomato___late_blight,color,d4fddb76d0b2663c 8857da22b4cea75b ae73060f9d1426a5 4b003aafeafc902e 1bcf0d2ee69d74f1 ecdbf23685d14a3b 899c364ba8fcded7 e0e865f88b409669 e59dcf47f864c193 0640ee6b83e7445a 20a229a819be6120 4bc08ae1da5d332e 36ce5121b0715c50 82a0fd3cbdd92ff3 04769b3d6a9724b9 0642e5f465d940db 06e62e5de79a3738 5fd8cec1fbf209ab 07f8ab62e6402466 8ae72459c1852799,8,1,1
30e6b0d3fd279234,19,label_conflict,cherry_including_sour___healthy | raspberry___healthy | soybean___healthy | tomato___leaf_mold,color,cde3dbec7223f938 0318f174c97147cd e0d05d56c149bdbb 0b055e77e54e6c9e 7ecf8e4877b0bd85 7efe92006e6733a1 f0dc5d34ad3fa753 132f40f76773823b 1b2b3d9ff7da2d8f 06a64f63af59bd2e 30e6b0d3fd279234 3a919befaa269efb 0ee280510888a2f3 436cc3acd00befbd f17cbcdfdc3e583c f3d9cde9b73d500d b05afceea8b50573 50bee8e890186e35 2c0369c9343338d0,4,1,1
4a3bdc38548ce41e,19,label_conflict,apple___healthy | pepper_bell___bacterial_spot | pepper_bell___healthy | raspberry___healthy | soybean___healthy,color,3ed14dac74f9a97e b058c037e90e1203 34e275a5bd191d1f 5e6e1b4336332cd7 7f479590f8e2a0b5 515ff3306f3f89d5 9e4392f7f78c5fdc 1540e22a56a4689b 4a3bdc38548ce41e 5f393f5414a8d91c 3d19a7fd78688577 c0c2d8c170e2fb94 d847c3042555055f 951442737ea623ae dfe9ae9e780b4752 f6409e2705bb0c74 de5723a477b6e32b d7278a9c6c9f00b4 71cd30e9c9065100,5,1,1
6eb1cdf484fcd965,18,label_conflict,grape___leaf_blight_isariopsis_leaf_spot | pepper_bell___healthy | soybean___healthy,color,e88520b2cbb4a402 dcc1349e065762e9 6218c15b4a645b31 8dfea6ab66cfef46 a1fced0486f2154b 018801c39dc5414b 843b27210aae2f2b 93f94eb819010a96 4c684e74d60456f4 c48a7cf02fe768b2 6eb1cdf484fcd965 0e91a73af1d3a6ae f227a0058460884c 1e49846ff87e70cf fbfbe1dd3fa3e87b efa5ba8597bba60e f2d4f3fa47323ba1 de8fd29a8eab59d1,3,1,1
1582519c659f51b3,15,label_conflict,soybean___healthy | tomato___bacterial_spot,color,e58bcd258f386d1c ae9b39555c873d45 766d7fe41b986963 a1ca30a667b282bb 1582519c659f51b3 a830a1cdd49f445c ba5a31016b34663c 8a6150ec318482d4 cd95081306b91253 59aa8d460544d732 f8c89b53f07ae2d7 3a26076e7b0c0f3d b0f5c1c2cc75c4b4 f8cb4c365d15560d ddf41a5ce8431c73,2,1,1
21500673cf412940,12,label_conflict,apple___healthy | cherry_including_sour___healthy | pepper_bell___healthy | soybean___healthy,color,1b5550ddbd7e9067 bee9fcc24c9b5286 049d4e94820c3f1b c24ad5f88d68c641 21500673cf412940 9256f64395c3ab08 249cac6424ab65ed 9d2c59286a5ddaba 5b66bc82d2b50233 bd3321f2294473b6 cab16d1e0cfd0677 6afbd5600f90bc79,4,1,1
290cb88375fa6f43,12,label_conflict,soybean___healthy | tomato___bacterial_spot | tomato___septoria_leaf_spot,color,290cb88375fa6f43 8b7a6ccb5d2f7545 520549c32da8f075 ebdaccf5e0a1b4a7 e441d5cf5d0321c1 afb90df9e4bfbfc3 2a04834077da13c5 efca8e20c59d39a1 d4c57743d543ffc5 1eaef33134e5ae1b db8adcea838642d0 7e5835fb14c596d2,3,1,1
4ee0e68cfb4fa130,12,contained,soybean___healthy,color,c9f69e229c384b65 00f45287ec663898 3c3b2d144ed10978 a63d66d3873d7f63 4194570556b74683 2b6ade79143a3735 4ee0e68cfb4fa130 7e097fd2b8b39ce6 a62884cc18af1949 21d4cf41f96ccd9a f50bf3ef688e1d10 9150f6a21d59e522,1,1,1
b922709364d414a6,11,label_conflict,pepper_bell___healthy | soybean___healthy,color,baecce41693b5125 c3c1b31c8f7cc767 2a2a50eb7c547d08 a1079f2f5ce5dc3c 763cc7a80fe7a9f8 972abe614a6a4200 e2775b308c5f1e63 e7278e26ad25c707 b922709364d414a6 71a7672c3d60906c af4079424cc38f0c,2,1,1
